,,,,,,,,,,,,,,,,,Back to 'Table of Contents'
" Annual Electricity Tariffs by Components (Low Tension Tariffs), 2005 - 20211",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Unit: ¢ / kWh
,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021¹
,,,,,,,,,,,,,,,,,
Total,17.7,21.1,20.2,25.5,20.5,23.5,26.0,27.9,26.3,25.6,21.7,18.9,20.7, 22.9 , 23.6 , 22.1 , 21.7 
Energy Costs,11.8,15.3,14.5,19.9,15.3,18.3,20.9,22.8,21.0,20.2,16.3,13.3,14.9, 17.1 , 17.7 , 16.2 , 15.6 
Grid Charges,5.5,5.4,5.4,5.2,4.9,4.9,4.8,4.8,5.0,5.1,5.2,5.3,5.3, 5.3 , 5.4 , 5.4 , 5.6 
Market Support Service Fees,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4, 0.4 , 0.4 , 0.4 , 0.4 
Power System Operation and Market Administration Fees,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1, 0.1 , 0.1 , 0.1 , 0.1 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Source: SP Group
1Data for 2021 is as at Jun 2021.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,,,,,
a. Figures may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,
b. Electricity tariffs refer to the low tension tariffs applicable for Households and non-Contestable Consumers.,,,,,,,,,,,,,,,,,
c. Rates are not inclusive of GST.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
